Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,2,6,2,1,3,4,3,1,4,2,2,3,3,3,2,1,3,2,3,5,3,1,2,3,2,4,2,1,2,1
Colorectal_GSE32323,1,2,3,1,2,5,1,1,1,1,1,1,2,1,1,2,2,4,3,1,1,2,2,2,2,2,2,6,2,3
Colorectal_GSE44076,1,2,3,1,2,1,3,2,1,2,3,2,4,1,3,2,1,2,2,3,2,2,2,2,1,5,1,2,2,3
Colorectal_GSE44861,2,2,2,2,4,2,3,3,1,2,3,3,2,3,4,3,3,2,2,4,3,4,1,2,3,2,2,4,4,2
Liver_GSE14520_U133A,2,1,2,2,2,1,2,2,2,2,4,2,1,3,3,1,2,2,2,1,3,5,2,2,2,2,1,3,2,2
Liver_GSE50579,3,1,1,5,3,2,3,2,2,2,5,2,4,4,2,2,2,3,4,3,4,3,4,4,3,4,4,2,1,1
Liver_GSE62232,1,2,1,1,1,1,3,1,1,1,5,2,2,1,2,1,1,1,1,1,1,2,1,4,1,2,1,1,1,2
Leukemia_GSE22529_U133A,3,2,1,4,1,1,4,4,1,2,2,2,2,2,4,2,5,2,1,1,4,4,3,1,59,2,1,2,2,4
Leukemia_GSE22529_U133B,2,3,1,2,3,4,5,1,2,4,1,3,7,3,3,3,3,2,3,4,4,3,3,3,4,3,3,2,3,5
Leukemia_GSE33615,2,3,1,2,4,5,4,2,2,1,2,4,1,3,3,4,1,1,2,3,2,2,3,3,4,3,2,2,1,4
Leukemia_GSE63270,1,2,2,4,2,2,2,3,2,1,2,3,35,1,3,3,1,3,1,1,2,3,3,5,3,1,3,2,6,2
ALL-AML-full,1,5,3,3,2,4,6,4,4,6,3,2,3,5,5,5,2,2,3,3,2,2,4,3,2,3,2,3,4,3
Breast_GSE22820,4,5,2,1,2,3,2,2,2,3,2,2,4,5,2,2,1,1,3,3,4,2,6,5,2,3,5,2,4,3
Breast_GSE59246,6,2,5,7,2,5,5,2,4,3,3,4,5,4,3,3,3,2,4,1,4,5,4,2,2,4,3,5,6,2
Breast_GSE70947,1,5,4,1,2,4,4,3,2,2,2,4,3,1,4,5,2,2,1,2,2,2,1,1,2,2,2,2,3,3
breastCancer-full,3,3,3,3,1,3,2,1,6,3,1,4,3,3,5,3,7,1,5,1,4,2,5,2,4,1,3,3,6,6
Prostate_GSE6919_U95Av2,3,5,3,6,6,3,5,5,1,3,4,1,6,4,2,1,2,5,5,3,3,2,4,4,6,3,4,1,4,2
Prostate_GSE6919_U95B,1,4,4,4,2,5,4,6,3,2,3,4,4,8,4,3,4,7,3,6,5,5,2,3,3,4,5,5,4,5
Prostate_GSE11682,3,5,2,3,3,4,2,1,1,2,1,3,2,2,4,1,3,2,2,2,6,3,3,1,3,3,3,2,2,2
prostate_tumorVSNormal-full,3,3,1,2,4,3,2,3,3,8,1,1,4,3,1,5,2,2,2,4,2,2,3,1,2,4,3,4,3,2
